Name;Age;Rating;Nationality;Club;Position;Potential;Value;Total Stats
K. Hodžić;25;62;Sweden;Mjällby AIF;LWB;65;325000;1484
J. Haak;18;49;United States;New York City FC;CDM;69;60000;1362
Anderson;22;65;Brazil;SCR Altach;CB;72;675000;1653
J. Löfgren;23;61;Sweden;Mjällby AIF;CB;70;350000;1372
J. Kayamba;28;74;DR Congo;Viktoria Plzeň;RW;74;5500000;1815
T. Murphy;18;52;Republic of Ireland;UCD AFC;GK;64;70000;834
R. O'Farrell;18;55;Republic of Ireland;UCD AFC;CAM;69;160000;1491
N. Okello;19;58;Canada;Toronto FC;CDM;74;250000;1522
A. Al Hidhani;22;56;United Arab Emirates;;RB;64;0;1443
Y. Nader;21;67;United Arab Emirates;Al Ain FC;CDM;78;1200000;1629
S. Juma;21;64;United Arab Emirates;Al Ain FC;CB;72;600000;1641
M. Khalfan;21;60;United Arab Emirates;Al Ain FC;ST;68;300000;1586
H. Al Mansoury;24;58;United Arab Emirates;;GK;65;0;907
I. Ahmed;36;67;United Arab Emirates;Al Ain FC;CB;67;150000;1523
M. Abdulrahman;31;66;United Arab Emirates;Al Ain FC;CAM;66;550000;1808
K. Eissa;30;71;United Arab Emirates;Al Ain FC;GK;71;1600000;1101
U. Godwin-Malife B;20;59;England;Forest Green Rovers;CB;72;275000;1509
C. Oliva;24;69;Uruguay;Cagliari;CDM;75;1400000;1836
J. Vargas;20;60;Venezuela;Gimnasia y Esgrima La Plata;ST;73;400000;1470
O. Fernandez;21;63;United States;New York Red Bulls;RM;75;650000;1638
Julio Alonso;21;62;Spain;Real Betis;LB;72;450000;1544
E. Fernández;19;62;Argentina;Defensa y Justicia;CAM;79;650000;1744
A. Colorado;21;65;Colombia;Deportivo Cali;CDM;76;875000;1666
A. Reynolds II;19;57;United States;Chicago Fire;LB;73;210000;1417
J. Gutjahr;22;61;United States;Chicago Fire;RM;67;300000;1694
D. Idehen;17;50;England;Grimsby Town;CB;66;50000;1220
B. Moltenis;21;59;France;FC Sochaux-Montbéliard;CB;74;325000;1363
D. Hancko;22;70;Slovakia;Sparta Praha;CB;82;2900000;1832
A. Bernabei;19;70;Argentina;Club Atlético Lanús;LWB;83;3000000;1889
S. Dewaele;21;68;Belgium;SC Heerenveen;CM;77;1300000;1774
S. Braken;26;66;Netherlands;Livorno;ST;68;800000;1591
Lucas Ribeiro;20;64;Brazil;TSG 1899 Hoffenheim;CDM;79;925000;1402
L. Barraza;23;57;United States;New York City FC;GK;67;130000;882
D. Sikan;19;64;Ukraine;Shakhtar Donetsk;ST;81;975000;1446
A. Jonjić;20;61;Germany;1. FC Kaiserslautern;RM;73;450000;1537
G. Mensah;20;69;Ghana;SV Zulte-Waregem;LB;77;1400000;1847
Kim Min Ho;20;57;Korea Republic;Sagan Tosu;GK;68;140000;875
K. Ishii;20;57;Japan;Sagan Tosu;CAM;68;180000;1464
A. Espino;28;74;Uruguay;Cádiz CF;LB;74;4800000;1893
A. Hristov;20;62;Bulgaria;Bulgaria;CB;75;0;1371
T. Miyashiro;20;59;Japan;Kawasaki Frontale;RM;70;275000;1475
A. Owusu;19;55;Germany;1. FC Heidenheim 1846;ST;67;140000;1295
J. Benson;20;62;England;Burnley;CAM;74;500000;1740
D. Hotić;24;71;Bosnia Herzegovina;KSV Cercle Brugge;LM;74;3000000;1857
N. Hernández;22;67;Colombia;Atlético Nacional;CB;80;1400000;1476
J. Segovia;31;69;Argentina;América de Cali;CB;69;775000;1449
A. Vigo;21;70;Argentina;Club Atlético Colón;RB;80;2600000;1790
L. Ríos;22;64;Argentina;Unión de Santa Fe;RM;71;625000;1572
F. Mura;21;69;Argentina;Estudiantes de La Plata;LB;81;1700000;1727
C. Sertel;20;63;Turkey;Medipol Başakşehir FK;CB;76;650000;1473
J. Rivera;21;60;Colombia;Envigado FC;LM;70;325000;1432
J. Olayinka;18;55;England;Northampton Town;RM;71;160000;1510
A. Toptik;21;55;Turkey;Kasimpaşa SK;LM;65;130000;1385
Iago Indias;24;62;Spain;C.D. Castellón;CB;68;375000;1466
C. Terán;18;57;Colombia;Envigado FC;CB;76;200000;1314
Y. Delfi;19;63;Iran;Sporting de Charleroi;RM;76;700000;1663
Abdu Conté;22;68;Portugal;Moreirense FC;CB;79;1400000;1732
G. Plata;19;74;Ecuador;Sporting CP;CAM;86;10000000;1861
Tuta;20;66;Brazil;Eintracht Frankfurt;CB;77;1000000;1656
S. Srnić;28;68;Serbia;UD Las Palmas;RM;68;900000;1738
A. Palaversa;20;71;Croatia;Getafe CF;CDM;83;4200000;1880
R. Prieto;22;66;Paraguay;Godoy Cruz;LM;75;1000000;1624
Júnior Brumado;21;62;Brazil;FC Midtjylland;ST;74;550000;1578
Víctor Ruiz;26;69;Spain;FC St. Gallen;CAM;72;1300000;1666
Ming Tian;25;68;China PR;Wuhan Zall;RB;73;1000000;1647
David Cardoso;25;60;Macau;FC Girondins de Bordeaux;CB;64;240000;1363
M. Hanousek;27;73;Czech Republic;Sparta Praha;LB;74;4000000;1813
Emerson;21;78;Brazil;Real Betis;RB;88;15000000;2012
Patrick;19;58;Brazil;FC Midtjylland;CB;75;250000;1434
D. Mbayo;18;65;Belgium;KAA Gent;LW;82;1100000;1609
Jeka;22;64;Ukraine;Boavista FC;ST;73;700000;1557
S. Keita;19;63;Mali;KAS Eupen;CAM;77;800000;1497
V. Savićević;25;67;Montenegro;Wisła Kraków;CM;72;925000;1860
K. Kizito;23;62;Ghana;Falkenbergs FF;ST;67;400000;1423
Xia Ao;21;47;China PR;Wuhan Zall;CB;55;40000;1186
Wang Zhifeng;23;49;China PR;Wuhan Zall;GK;55;30000;884
D. St. Clair;23;60;Canada;Minnesota United FC;GK;70;275000;856
R. Bellanova;20;68;Italy;Atalanta;RB;83;1800000;1561
M. Hašek;23;72;Czech Republic;Sparta Praha;CAM;75;3900000;1996
M. Römling;19;57;Germany;VfL Bochum 1848;LB;72;210000;1405
Wu Shaocong;20;55;China PR;Guangzhou Evergrande Taobao FC;CM;68;150000;1604
M. Mužek;23;60;Croatia;St. Mirren;LWB;65;230000;1529
K. Thuram;19;71;France;OGC Nice;CDM;82;3700000;1836
M. Mbow;20;59;Senegal;Stade de Reims;CB;75;325000;1318
J. Piroe;20;64;Netherlands;PSV;ST;76;825000;1584
Ibañez;21;68;Brazil;Roma;CB;78;1300000;1468
L. Ofori;22;66;Ghana;Famalicão;RM;74;925000;1776
E. Tapsoba;21;78;Burkina Faso;Bayer 04 Leverkusen;CB;88;15500000;1847
A. Seko;20;64;Japan;Cerezo Osaka;CB;75;725000;1466
H. Araki;23;66;Japan;Sanfrecce Hiroshima;CB;72;800000;1399
S. Higashi;19;62;Japan;Sanfrecce Hiroshima;CAM;73;500000;1663
I. Alibaev;26;67;Uzbekistan;FC Seoul;CM;70;925000;1789
G. Ito;19;55;Japan;Vissel Kobe;GK;66;110000;879
A. Gutman;23;61;United States;FC Cincinnati;CB;68;325000;1574
L. Dykes;24;69;Scotland;Queens Park Rangers;ST;74;1400000;1655
P. Finger;18;57;Germany;Eintracht Frankfurt;CAM;72;210000;1611
A. Deuro;19;60;Mali;KSV Cercle Brugge;CDM;73;375000;1537
S. Hostikka;22;62;Finland;Pogoń Szczecin;RM;68;425000;1512
I. Camará;21;67;Guinea;Moreirense FC;CB;77;1100000;1637
J. Nelson;21;58;United States;FC Dallas;LB;67;180000;1392
S. Junqua;23;56;United States;Houston Dynamo;LB;63;110000;1370
R. Mudražija;23;66;Croatia;FC København;CAM;75;975000;1777
J. Marín;18;55;Colombia;Cúcuta Deportivo;CAM;72;160000;1457
J. Larsson;21;66;Sweden;Örebro SK;RM;78;1200000;1681
Unai Vencedor;19;65;Spain;Athletic Club de Bilbao;CM;79;1100000;1792
A. Mikkelsen;18;55;Norway;Tromsø IL;RM;70;160000;1357
A. McCalmont;20;61;Northern Ireland;Oldham Athletic;CAM;76;525000;1630
C. Ouzounidis;19;60;Australia;Everton;CB;73;350000;1428
M. Mampala;18;62;England;Everton;ST;76;625000;1581
D. Plechatý;21;65;Czech Republic;Sparta Praha;CB;75;800000;1520
T. Muse;20;55;United States;Seattle Sounders FC;GK;68;130000;897
O. Casey;19;59;England;Leeds United;CB;75;300000;1352
M. Bogusz;18;60;Poland;Leeds United;CAM;77;425000;1592
B. Michel;22;61;United States;Orlando City SC;ST;68;350000;1441
K. Smith;28;58;United States;Orlando City SC;RB;58;110000;1405
T. Freeman;17;51;United States;Sporting Kansas City;ST;75;80000;1268
L. Stergiou;18;67;Switzerland;FC St. Gallen;CB;86;1500000;1529
B. Aaronson;19;68;United States;Philadelphia Union;CAM;80;1600000;1677
F. Vincent;21;58;England;Scunthorpe United;LM;71;240000;1661
T. Ducrocq;19;60;France;Racing Club de Lens;CAM;76;450000;1608
D. Saba;27;73;Israel;Guangzhou R&F FC;LM;74;4600000;1824
Marcos Antonio;20;72;Brazil;Shakhtar Donetsk;CAM;85;6000000;1815
L. Buchanan;19;59;England;Derby County;LB;76;300000;1439
A. Buksa;17;60;Poland;Wisła Kraków;ST;77;425000;1436
Andre Shinyashiki;23;62;Brazil;Colorado Rapids;ST;70;450000;1584
E. Cardozo;19;60;Argentina;Racing Club;CAM;80;450000;1615
D. Kulusevski;20;77;Sweden;Juventus;LM;87;14500000;1958
L. McNally;20;56;Republic of Ireland;St. Patrick's Athletic;CB;70;190000;1266
R. Cabrera;31;60;Uruguay;Nacional Potosí;CB;60;150000;1331
K. Mouanga;19;60;France;Angers SCO;CB;76;425000;1327
P. Wade;19;59;France;OGC Nice;CM;73;325000;1606
Altube;20;63;Spain;Real Madrid;GK;80;675000;926
A. Pelmard;20;68;France;OGC Nice;CB;79;1400000;1663
Maguinho;28;65;Brazil;Yokohama FC;RB;65;475000;1656
K. Harada;19;55;Japan;Kawasaki Frontale;CAM;67;140000;1376
S. Watanabe;23;56;Japan;Nagoya Grampus;CAM;62;120000;1485
S. Naruse B;19;63;Japan;Nagoya Grampus;RB;75;575000;1582
G. Costa;30;67;Peru;Peru;RW;67;725000;1578
S. Haji;20;61;United States;San Jose Earthquakes;CAM;73;450000;1495
D. Ochoa;19;54;United States;Real Salt Lake;GK;71;120000;808
D. Hoyo-Kowalski;16;59;Poland;Wisła Kraków;CB;81;325000;1363
F. Dymerski;18;53;Poland;Lechia Gdańsk;CB;72;110000;1200
O. Antman;18;58;Finland;FC Nordsjælland;CAM;74;275000;1487
G. Ranjitsingh;26;52;"Trinidad &amp; Tobago";Minnesota United FC;GK;55;45000;825
A. Palavecino;23;64;Argentina;Deportivo Cali;CAM;72;675000;1650
Álex Sola;21;69;Spain;Real Sociedad;RWB;76;1500000;1733
F. Balogun;18;60;England;Arsenal;ST;80;425000;1454
Xavi Sintes;16;60;Spain;RCD Mallorca;CB;80;375000;1539
G. Avila;18;56;Argentina;Boca Juniors;CB;76;170000;1303
R. Ashurmatov;23;66;Uzbekistan;GwangJu FC;CB;73;825000;1688
F. Delorenzi;21;67;Argentina;Independiente;CB;80;1400000;1503
B. Tutu;22;61;France;Stade Malherbe Caen;ST;69;375000;1428
C. Gasper;24;64;United States;Minnesota United FC;LB;71;575000;1462
L. Zumberi;20;57;Switzerland;FC Zürich;CAM;74;230000;1486
H. Dotson;23;64;United States;Minnesota United FC;CDM;71;575000;1671
L. Unbehaun;19;61;Germany;Borussia Dortmund;GK;79;450000;1082
A. Diallo;23;65;Senegal;CD Aves;ST;71;750000;1514
J. Haahr;17;52;Denmark;FC København;CB;72;90000;1155
M. Anbo;19;54;Denmark;Aarhus GF;RB;68;140000;1339
J. Sirois;19;50;Canada;Montreal Impact;GK;69;50000;829
Moncayola;22;74;Spain;CA Osasuna;CM;83;8000000;1888
Apa;20;67;Spain;Real Valladolid CF;RB;79;1200000;1563
A. Bella-Kotchap;18;62;Germany;VfL Bochum 1848;CB;82;575000;1375
A. Ayala;20;60;Argentina;Estudiantes de La Plata;CDM;77;425000;1594
Edgar;23;70;Spain;Real Oviedo;CDM;79;2500000;1554
B. Sekulić;28;66;Slovakia;Chicago Fire;RB;66;550000;1603
M. Freese;21;59;United States;Philadelphia Union;GK;68;190000;900
P. Glatzel;18;60;Germany;Liverpool;ST;80;425000;1512
M. Güçlü;21;64;Turkey;Valenciennes FC;ST;74;750000;1572
E. Cerrillo;19;64;United States;FC Dallas;CDM;81;900000;1626
K. Álvarez;23;61;Honduras;IFK Norrköping;RB;67;300000;1544
F. Mambimbi;19;60;Switzerland;BSC Young Boys;RM;77;450000;1528
E. Petignat;20;56;Switzerland;BSC Young Boys;CB;73;190000;1469
C. Zady Sery;20;68;Ivory Coast;Stade Malherbe Caen;RM;77;1400000;1588
A. Thiam;20;60;Mauritania;US Orléans Loiret Football;LB;70;300000;1499
A. Scheidler;22;65;France;Dijon FCO;ST;74;850000;1543
R. Loughty;25;59;Australia;Macarthur FC;RB;62;170000;1490
Guo Wei;30;58;China PR;Shenzhen FC;GK;58;90000;899
A. Boroughbridge;35;59;Australia;Macarthur FC;CB;59;45000;1261
J. Barreto;20;58;Argentina;Patronato;ST;74;275000;1398
B. Smith-Hylton;22;56;Australia;Central Coast Mariners;CB;66;130000;1486
H. Trewbridge;25;59;Australia;Macarthur FC;CAM;62;200000;1566
A. Cruz;24;66;Costa Rica;FC Cincinnati;CAM;73;900000;1844
F. Amaya;19;62;United States;FC Cincinnati;CAM;77;650000;1695
A. Monksfield;26;60;Australia;Macarthur FC;LWB;63;230000;1552
J. Hague;22;50;United States;FC Cincinnati;GK;60;40000;1009
L. Leroy;20;63;France;La Berrichonne de Châteauroux;CM;78;800000;1683
O. Gastrell;34;58;Australia;Macarthur FC;CB;58;45000;1197
E. Selvik;22;61;Norway;Odds BK;GK;70;300000;857
D. Sealy;17;51;United States;FC Dallas;ST;71;70000;1289
P. Ejimadu;20;55;United States;Los Angeles FC;GK;68;130000;845
Bernardo Rosa;19;55;Brazil;West Ham United;CAM;69;170000;1429
J. Ngakia;19;65;England;Watford;RWB;78;925000;1530
H. Kvaracheliya;17;63;Georgia;Lokomotiv Moscow;LM;74;550000;1631
A. Perez;24;60;United States;Los Angeles FC;CAM;65;275000;1454
P. Vassell;20;60;Jamaica;Los Angeles FC;CAM;72;375000;1550
J. Portillo;27;60;United States;Real Salt Lake;CM;61;210000;1653
E. Cuello;23;61;Argentina;LA Galaxy;CAM;68;350000;1558
Tete;20;75;Brazil;Shakhtar Donetsk;CAM;86;11500000;1710
F. Panák;24;67;Czech Republic;Sparta Praha;CB;76;1100000;1747
K. Miller;23;59;Canada;Orlando City SC;CB;69;230000;1301
J. Branthwaite;18;60;England;Everton;CB;82;450000;1319
J. Wellers;19;53;Germany;VfL Bochum 1848;CB;61;80000;1407
R. Hajal;18;61;Sweden;SC Heerenveen;CAM;79;525000;1604
L. N'Diaye;18;60;Mali;PFC CSKA Moscow;ST;76;425000;1405
Kim Tae Hwan;20;60;Korea Republic;Suwon Samsung Bluewings;CB;72;350000;1421
K. N'Dri;19;60;Ivory Coast;KAS Eupen;CAM;74;450000;1618
B. Al Ahbabi;29;71;United Arab Emirates;Al Ain FC;RM;71;2300000;1845
M. Ahmed;31;62;United Arab Emirates;Al Ain FC;CB;62;230000;1573
D. Politic;20;63;Romania;Bolton Wanderers;RM;78;800000;1609
D. Muringen;21;60;Netherlands;ADO Den Haag;CB;69;300000;1410
J. Araujo;18;63;United States;LA Galaxy;RB;80;700000;1560
V. Boniface;19;64;Nigeria;FK Bodø/Glimt;ST;77;850000;1599
M. Chana;21;61;Germany;VfB Lübeck;CB;71;375000;1362
Cho Gue Sung;22;56;Korea Republic;Jeonbuk Hyundai Motors;ST;67;160000;1388
A. Barman;26;68;United Arab Emirates;Al Ain FC;CDM;72;1000000;1719
B. Iskandar;19;51;China PR;Guangzhou Evergrande Taobao FC;ST;66;80000;1321
Vintecinco;24;57;Brazil;Busan IPark;ST;62;140000;1384
T. Raschl;20;63;Germany;Borussia Dortmund;CDM;78;775000;1653
A. Dobra;19;56;Albania;Ipswich Town;CAM;74;190000;1497
D. Traore;21;59;France;LA Galaxy;LB;69;230000;1514
André Almeida;20;63;Portugal;Vitória Guimarães;CAM;75;650000;1710
D. Matsuoka;19;62;Japan;Sagan Tosu;CM;76;650000;1649
M. Smith;19;58;England;Swindon Town;CM;72;250000;1560
C. Olses;18;62;Venezuela;Racing Club;GK;82;525000;915
J. Cropper;20;53;England;Burnley;RB;65;100000;1404
A. Arroyo;18;59;Colombia;Deportivo Cali;RM;77;325000;1401
A. Glennon;20;61;England;Burnley;LB;72;400000;1588
E. Zubak;22;58;United States;LA Galaxy;ST;67;200000;1387
V. Gembalies;20;63;Germany;MSV Duisburg;CB;72;525000;1418
F. Fragueda;19;59;Argentina;Club Atlético Talleres;GK;76;275000;913
L. Ghezali;19;63;France;AS Saint-Étienne;RM;78;800000;1564
Y. Baret;18;59;France;En Avant de Guingamp;CB;78;300000;1356
L. Carnot;19;61;France;En Avant de Guingamp;CM;75;525000;1677
K. John;19;62;England;Everton;RB;75;525000;1602
I. Powell;18;58;Australia;Brisbane Roar;LM;71;210000;1603
O. Deman;20;58;Belgium;KSV Cercle Brugge;CAM;69;220000;1507
R. González;19;60;Argentina;Rosario Central;RWB;75;400000;1498
J. Cuesta;18;60;Colombia;Independiente Medellín;CAM;82;475000;1456
K. Jørgensen;20;58;Denmark;Lyngby BK;RWB;72;250000;1446
Jaime Seoane;23;65;Spain;SD Huesca;CAM;74;825000;1813
G. González;25;73;Uruguay;Peñarol;RWB;76;4400000;1793
A. Tégar;17;57;France;Dijon FCO;LB;76;180000;1446
M. Williams;20;57;England;Coventry City;CB;71;210000;1347
N. Schlotterbeck;20;66;Germany;1. FC Union Berlin;CB;77;1000000;1466
S. Hanssen;19;60;Norway;Strømsgodset IF;CB;76;425000;1406
K. Krasniqi;19;53;Kosovo;Strømsgodset IF;CAM;70;130000;1466
J. Nisbet;21;58;Australia;Central Coast Mariners;CM;69;220000;1631
A. Konté;19;56;Mali;Sarpsborg 08 FF;RM;75;190000;1387
M. Olise;18;67;France;Reading;LM;81;1600000;1659
Thierry Correia;21;72;Portugal;Valencia CF;RB;78;3800000;1836
A. Rowe;19;58;England;Huddersfield Town;RM;75;275000;1424
D. Wilmering;19;57;Australia;Western Sydney Wanderers;LB;71;210000;1433
C. Aguirre;20;60;Mexico;Club Necaxa;RM;77;450000;1472
Robinho;22;65;Portugal;Os Belenenses;CAM;74;850000;1688
Lee Ho In;24;55;Korea Republic;Gangwon FC;CB;63;110000;1236
Bruno Guimarães;22;78;Brazil;Olympique Lyonnais;CM;87;15500000;2057
M. El Hacen;22;69;Mauritania;Real Valladolid CF;CM;79;1700000;1717
K. Takahata;19;58;Japan;Oita Trinita;CB;72;250000;1586
C. Miszta;16;50;Poland;Legia Warszawa;GK;70;50000;766
M. Præst;19;51;Denmark;AC Horsens;CM;71;80000;1380
M. Glushenkov;20;64;Russia;Spartak Moscow;LM;79;1000000;1524
N. Umyarov;20;68;Russia;Spartak Moscow;CDM;84;1900000;1698
M. Kapo;18;62;France;Paris Saint-Germain;CDM;80;600000;1632
R. Karjalainen;24;62;Finland;Örebro SK;ST;68;425000;1593
G. Yow;17;53;United States;DC United;LM;73;120000;1301
M. Akçay;22;63;Turkey;MKE Ankaragücü;ST;73;600000;1524
R. Quirynen;18;62;Belgium;Royal Excel Mouscron;RM;78;575000;1668
N. Nöstlinger;22;60;Belgium;RKC Waalwijk;CAM;69;325000;1613
D. Valdez;26;69;Paraguay;Sol de América;CDM;73;1200000;1758
J. Escobar;24;72;Paraguay;Paraguay;CB;76;3600000;1766
R. Cordano;21;68;Bolivia;Bolivia;GK;76;1000000;969
S. Torres;29;64;Bolivia;Bolivia;RB;64;0;1517
A. Jusino;27;64;Bolivia;Bolivia;CB;65;450000;1336
R. Vaca;21;67;Bolivia;Bolivia;RM;80;0;1584
D. Merola;20;58;Italy;Empoli;ST;74;275000;1374
S. Esposito;17;66;Italy;SPAL;ST;86;1300000;1703
I. Șerban;24;57;Romania;Dinamo Bucureşti;CDM;64;130000;1463
C. Măgureanu;20;53;Romania;Dinamo Bucureşti;ST;68;130000;1332
M. Căpățînă;24;66;Romania;FC Voluntari;RM;72;875000;1642
I. Gheorghe;20;67;Romania;FC Voluntari;RM;81;1700000;1691
S. Bouzian;19;59;Belgium;KV Mechelen;GK;70;210000;883
S. Moreno;20;60;Colombia;América de Cali;RM;77;450000;1564
W. Togui;23;67;Ivory Coast;KV Mechelen;ST;71;1000000;1619
G. Deac;25;61;Romania;FC Argeș;RM;64;325000;1559
G. Simion;22;66;Romania;FCSB (Steaua);CDM;78;1100000;1760
M. Williamsen;16;49;Norway;Kristiansund BK;CB;73;60000;1120
V. Crețu;31;70;Romania;FCSB (Steaua);RB;70;1300000;1780
D. Olaru;22;68;Romania;FCSB (Steaua);CAM;79;1500000;1863
C. Căbuz;24;68;Romania;FC Viitorul;GK;74;925000;1062
R. Dâlbea;38;64;Romania;FC Hermannstadt;CDM;64;100000;1569
A. Miron;26;68;Romania;FCSB (Steaua);CB;72;1000000;1612
A. Burcă;27;70;Romania;Romania;CB;73;1900000;1459
A. Chindriș;21;67;Romania;FC Botoşani;CB;78;1200000;1553
A. Pițian;24;62;Romania;Chindia Târgovişte;CB;66;350000;1318
A. Patache;32;64;Romania;FC Botoşani;RB;64;275000;1556
M. Diakité;20;55;Mali;FC Botoşani;RM;68;150000;1486
R. Andronic;20;58;Romania;Academica Clinceni;ST;72;275000;1429
A. Vlad;21;66;Romania;FCSB (Steaua);GK;77;900000;1072
I. Cristea;25;69;Romania;FCSB (Steaua);CB;74;1200000;1586
M. Leca;28;63;Romania;FC Argeș;CB;64;350000;1378
A. Rus;24;65;Romania;Romania;CB;72;0;1674
F. Ștefan;24;69;Romania;Romania;LB;74;1200000;1866
C. Petrila;19;61;Romania;CFR Cluj;CAM;78;550000;1481
R. Fernández;20;62;Bolivia;Bolivia;LB;76;625000;1483
S. Arzamendia;22;69;Paraguay;Paraguay;LWB;79;0;1769
V. Mihăilă;20;70;Romania;Universitatea Craiova;RM;82;3200000;1739
O. Opsahl;18;55;Norway;Vålerenga Fotball;LB;71;150000;1391
Moha;20;68;Morocco;CD Numancia;RM;83;2000000;1664
Javi Navarro;23;66;Spain;Albacete BP;RM;75;1000000;1563
I. Panțîru;24;70;Romania;FCSB (Steaua);LB;76;2200000;1793
A. Sin;28;67;Romania;Dinamo Bucureşti;LB;67;650000;1767
D. Lazar;28;70;Romania;Romania;GK;72;1500000;1076
C. Dima;20;66;Romania;Astra Giurgiu;CB;79;1200000;1617
R. Radunović;28;70;Montenegro;Astra Giurgiu;LB;70;1500000;1750
A. Trușescu;21;61;Romania;Astra Giurgiu;LB;73;400000;1537
V. Ghiță;22;67;Romania;FC Viitorul;CB;76;1100000;1634
B. de Nooijer;22;69;Netherlands;FC Viitorul;LWB;77;1400000;1744
R. Boboc;21;68;Romania;FC Viitorul;RB;78;1300000;1739
A. Mățan;20;67;Romania;FC Viitorul;RM;79;1400000;1685
C. Casap;21;61;Romania;FC Viitorul;CAM;73;450000;1706
A. Ciobanu;22;68;Romania;FC Viitorul;CAM;77;1400000;1786
A. Pitu;18;61;Romania;FC Viitorul;CAM;79;525000;1578
G. Ganea;21;63;Romania;FC Viitorul;ST;74;650000;1632
S. Kokovas;18;58;Greece;VfL Bochum 1848;LB;74;240000;1461
E. Acquah;19;55;England;Southend United;ST;72;170000;1393
A. Gómez;18;63;Mexico;Boavista FC;LB;81;700000;1485
Park Jung In;19;57;Korea Republic;Ulsan Hyundai FC;CAM;77;220000;1491
C. Haydar;18;61;Colombia;Junior FC;CB;81;475000;1391
A. Jaziri;19;63;Tunisia;OGC Nice;LW;73;575000;1512
H. Moussaki;21;61;Congo;Stade Malherbe Caen;ST;71;425000;1470
M. Praszelik;19;58;Poland;Śląsk Wrocław;CAM;75;275000;1442
Zubimendi;21;63;Spain;Real Sociedad;CM;75;650000;1638
M. Karbownik;19;68;Poland;Legia Warszawa;LB;83;1800000;1726
B. Davis;19;56;Thailand;Fulham;CAM;72;190000;1535
A. Rațiu;22;63;Romania;ADO Den Haag;RB;73;525000;1681
T. Vlček;18;62;Czech Republic;SK Slavia Praha;CB;80;575000;1471
D. Bettella;20;63;Italy;AC Monza;CB;80;750000;1352
N. Boujellab;21;65;Morocco;FC Schalke 04;CAM;77;975000;1693
H. Sveijer;18;49;Sweden;IK Sirius;GK;63;50000;747
V. Yuel;25;59;South Sudan;Western United FC;RM;62;200000;1512
P. Vogt;20;59;Norway;Stabæk Fotball;LB;71;250000;1490
D. Obbekjær;17;54;Denmark;Odense Boldklub;CB;72;130000;1298
Song Min Kyu;20;63;Korea Republic;Pohang Steelers;RM;78;800000;1491
J. Mundle-Smith;20;59;England;Fulham;CB;71;250000;1453
V. Antov;18;62;Bulgaria;Bulgaria;CB;77;0;1495
M. Minchev;19;63;Bulgaria;Sparta Praha;CAM;76;700000;1572
M. Đira;20;66;Croatia;Dinamo Zagreb;LWB;79;1200000;1832
K. Maradishvili;20;62;Russia;PFC CSKA Moscow;CAM;75;550000;1648
P. Maslov;20;66;Russia;Spartak Moscow;RB;79;1100000;1569
I. Gaponov;22;63;Russia;Spartak Moscow;CB;72;525000;1413
T. Hasal;20;59;Canada;Vancouver Whitecaps FC;GK;73;300000;830
Liu Xinyu;20;51;China PR;Shijiazhuang Ever Bright F.C.;ST;64;70000;1301
J. Carls;23;66;Germany;Vitória Guimarães;LB;75;900000;1711
E. Camavinga;17;76;France;Stade Rennais FC;CM;88;12000000;2043
T. Pedersen;23;65;Norway;FK Haugesund;LB;72;675000;1635
S. Boey;19;65;France;Stade Rennais FC;RWB;78;925000;1647
R. Sandberg;19;54;Norway;Rosenborg BK;GK;73;120000;858
T. Allen;20;57;England;Forest Green Rovers;LM;71;230000;1475
O. Petersen;18;57;Norway;Molde FK;GK;76;180000;867
S. Jarl;20;58;Norway;Sarpsborg 08 FF;CDM;70;210000;1492
J. Neiß;20;59;Germany;Hannover 96;LM;77;350000;1422
J. Samnik;18;59;United States;Hobro IK;GK;75;275000;943
J. Semple;19;55;Scotland;Motherwell;ST;75;170000;1399
I. Atanga;20;67;Ghana;FC Nordsjælland;RM;78;1300000;1640
L. Murphy;18;58;England;Fulham;CB;78;250000;1349
T. Ballo;17;56;Austria;Chelsea;CAM;72;180000;1437
S. Doherty;20;49;Republic of Ireland;Finn Harps;CAM;59;50000;1321
Y. Isaienko;18;55;Ukraine;Dynamo Kyiv;ST;74;170000;1330
I. Gruev;20;61;Bulgaria;SV Werder Bremen;CM;78;525000;1579
R. Piccoli;19;62;Italy;Spezia;ST;80;650000;1483
Gustavo Assunção;20;74;Brazil;Famalicão;CDM;86;9500000;1900
O. Browne;24;69;Panama;Montreal Impact;LW;72;1300000;1741
M. Johnsen;19;57;Norway;Feyenoord;CAM;74;220000;1484
Z. Thior;22;64;Senegal;Real Sociedad;ST;73;700000;1630
R. Zamfir;18;54;Romania;Dinamo Bucureşti;RB;72;130000;1406
A. Bani;17;59;Romania;Dinamo Bucureşti;LM;79;300000;1414
M. McGuinness;19;56;Republic of Ireland;Ipswich Town;CB;71;180000;1314
D. Hanslik;23;63;Germany;Holstein Kiel;ST;71;550000;1580
L. Nițu;19;60;Romania;Gaz Metan Mediaş;LM;78;450000;1543
Miguel Marí;23;62;Spain;SD Eibar;CAM;71;450000;1576
M. Nawrocki;17;55;Poland;Jagiellonia Białystok;CAM;74;160000;1368
L. Le Pennec;18;57;France;US Orléans Loiret Football;GK;74;180000;899
D. Ruiz-Diaz;19;55;Australia;Central Coast Mariners;ST;70;170000;1362
I. Maatsen;17;58;Netherlands;Chelsea;LB;80;250000;1528
M. Taferner;19;61;Austria;Wolfsberger AC;CAM;75;550000;1593
